26 : 9899, 6827, 4492, 4683, 5406, 4461, 8502, 4630, 1965, 7263
27 : 5963, 5865, 6161, 5969, 8926, 5407, 5736, 5179, 4839, 4783
28 : 4472, 4461, 8189, 6827, 5541, 7039, 5477, 7805, 4492, 5879
29 : 5453, 5232, 5195, 6162, 6406, 5216, 6428, 6487, 6125, 6805
30 : 5207, 7637, 8549, 1649, 1020, 4777, 5938, 5380, 116, 434
31 : 5559, 4995, 4962, 5330, 4870, 4318, 431, 581, 5013, 1483
32 : 5300, 5407, 4956, 4783, 6030, 8663, 6508, 153, 6338, 8779
33 : 7277, 3933, 9055, 8150, 8530, 687, 1193, 9200, 8293, 2201
34 : 7058, 8862, 6346, 5715, 5902, 3049, 1965, 4941, 8468, 6800
35 : 5841, 5866, 6707, 5376, 1884, 3364, 4271, 8535, 1605, 2139
36 : 5842, 5867, 6708, 4272, 8534, 4314, 5377, 1254, 2755, 2607
37 : 5184, 4997, 8144, 7936, 2841, 6178, 3271, 6465, 7707, 3809
38 : 5023, 5500, 5177, 6187, 5341, 1320, 3565, 2519, 5522, 220
39 : 4677, 5074, 7002, 9841, 7218, 9721, 4692, 4107, 2891, 6883
40 : 8307, 4773, 4867, 5214, 5163, 3206, 8409, 7024, 1420, 2221
41 : 4643, 7391, 4564, 440, 560, 859, 9344, 4771, 9169, 6614
42 : 5224, 8105, 7135, 4390, 1464, 6867, 3911, 2460, 9920, 416
43 : 6302, 5144, 4978, 6416, 6933, 5219, 5176, 5029, 5587, 6801
44 : 5428, 468, 5930, 7249, 322, 8615, 5358, 5148, 7891, 6212
45 : 8979, 5560, 6085, 4996, 4460, 1277, 8712, 2640, 6754, 5713
46 : 5880, 9669, 8997, 8218, 8259, 9000, 7851, 5857, 1389, 9160
47 : 5641, 3948, 6707, 2890, 3292, 1757, 3009, 5866, 1884, 4373
48 : 5213, 5750, 5772, 5437, 976, 5228, 6578, 512, 7648, 1579
49 : 5084, 5138, 4742, 168, 4743, 113, 5596, 4827, 6827, 6400
50 : 5653, 5012, 6627, 8060, 5110, 3846, 7994, 8339, 4995, 8557
51 : 6123, 6192, 6343, 6703, 2591, 2611, 7418, 9841, 7932, 9997
52 : 5673, 8480, 2385, 2256, 6455, 7145, 1002, 8906, 6478, 4357
53 : 8612, 2640, 5997, 1321, 92, 5120, 221, 4711, 5642, 6679
54 : 6158, 6167, 4798, 6709, 6983, 6676, 7177, 6458, 6283, 6678
55 : 5830, 6004, 5499, 5115, 5999, 7228, 7226, 5987, 8603, 6252
56 : 4903, 5978, 4730, 4484, 4678, 7641, 1524, 5431, 8215, 9096
57 : 5211, 5284, 5637, 7374, 9922, 9778, 448, 2650, 8809, 1626
58 : 7237, 7024, 7700, 9958, 7287, 8348, 7653, 3804, 8551, 33
59 : 6834, 6316, 6612, 6648, 7171, 6376, 6692, 6798, 6720, 8674
60 : 5278, 4472, 4490, 4457, 6930, 4461, 9547, 8720, 9524, 5879
61 : 8402, 8564, 6354, 8906, 1890, 9938, 2481, 3816, 2621, 4914
62 : 6560, 7269, 6911, 6202, 6268, 6898, 6371, 7675, 6248, 7963
63 : 6321, 6413, 5989, 7094, 6440, 5863, 5167, 7167, 5327, 5310
64 : 5635, 5440, 6937, 9058, 7082, 5545, 6905, 7004, 7960, 9314
65 : 6405, 5504, 6022, 6712, 798, 9224, 4579, 7600, 5658, 8201
66 : 5390, 5669, 7346, 7758, 5242, 7159, 7338, 3264, 7082, 5464
67 : 6857, 8162, 7881, 8279, 6638, 6018, 5743, 9033, 7536, 4649
68 : 5199, 1478, 9893, 5073, 603, 9845, 7217, 7462, 8051, 4225
69 : 5877, 3049, 6214, 3368, 7058, 9719, 5902, 5715, 4511, 3541
70 : 6124, 6430, 5912, 6804, 7486, 7765, 6163, 5196, 5454, 5487
71 : 5826, 5885, 5155, 7157, 6342, 9945, 7081, 5634, 9057, 9797
72 : 6609, 933, 9769, 4315, 3953, 5246, 3593, 5296, 7601, 4874
73 : 6853, 2771, 4240, 3239, 3802, 7744, 1881, 2453, 1875, 3487
74 : 7364, 5541, 9547, 2085, 8190, 9546, 9561, 8189, 9617, 9527
75 : 6553, 7616, 1234, 6297, 2726, 8996, 5496, 4881, 9796, 8883
76 : 7903, 7367, 2805, 1236, 3108, 2104, 3680, 1390, 8166, 9037
77 : 8578, 8275, 5332, 9153, 2092, 3290, 2010, 8004, 2949, 9190
78 : 9208, 9792, 4623, 9464, 8894, 1562, 4736, 4888, 7117, 8230
79 : 6070, 8069, 5967, 8486, 7489, 7080, 5952, 7280, 6646, 7076
80 : 7451, 7188, 7742, 7587, 6345, 9250, 7855, 7254, 4649, 1665
81 : 3086, 6408, 4951, 5088, 1548, 3766, 6131, 4218, 5102, 5436
82 : 9164, 51, 390, 90, 64, 273, 5571, 1133, 8783, 775
83 : 6005, 6778, 8480, 5051, 7943, 1478, 8047, 6382, 5288, 8890
84 : 8894, 2467, 9464, 5121, 5879, 3403, 1562, 9208, 6109, 9530
85 : 8354, 8725, 6144, 7927, 7584, 7019, 5887, 6254, 4232, 6425
86 : 9151, 5743, 6750, 6843, 5474, 5690, 6587, 7325, 9037, 8162
87 : 7722, 5690, 8011, 6587, 8734, 6140, 7296, 7707, 5415, 9151
88 : 7098, 6901, 8899, 7065, 9224, 8103, 6326, 6369, 8201, 5901
89 : 7627, 7118, 6079, 6245, 5507, 7265, 2497, 6831, 9079, 5764
90 : 9258, 9417, 6491, 4855, 103, 4678, 5526, 204, 4645, 5002
91 : 8896, 9993, 3937, 763, 9240, 9085, 6453, 7924, 8197, 6269
92 : 8356, 7797, 956, 908, 580, 4832, 1567, 4684, 1059, 2956
93 : 8978, 1088, 5433, 7218, 7463, 7344, 7167, 6785, 6137, 1661
94 : 8419, 8099, 7678, 7486, 8608, 8492, 6804, 7411, 9267, 4053
95 : 9205, 1185, 9682, 7271, 2265, 3055, 1130, 349, 2318, 925
96 : 7512, 5332, 7939, 266, 2126, 4867, 3206, 2728, 2949, 8307
97 : 8825, 9081, 6142, 5072, 6234, 7467, 6926, 8102, 5134, 8471
98 : 5460, 5439, 5810, 6882, 5773, 6906, 5924, 6745, 7419, 6047
99 : 8082, 8782, 4767, 9163, 9942, 9993, 9240, 2894, 9338, 9846
